Customer_ID,Age,Gender,City,Monthly_Income,Orders,Average_Order_Value,Discount_Used,Returned_Items,Satisfaction,Subscription
1001,22,Male,Karachi,45000,12,1800,Yes,1,4,No
1002,31,Female,Lahore,72000,20,2500,No,0,5,Yes
1003,27,Male,Islamabad,55000,15,2100,Yes,2,3,No
1004,45,Female,Karachi,98000,30,3200,No,1,5,Yes
1005,35,Male,Peshawar,68000,18,2400,Yes,0,4,Yes
1006,29,Female,Quetta,51000,14,1900,No,1,3,No
1007,41,Male,Lahore,89000,26,3000,No,0,5,Yes
1008,24,Female,Karachi,47000,10,1700,Yes,3,2,No
1009,38,Male,Islamabad,76000,22,2800,No,1,4,Yes
1010,33,Female,Karachi,62000,17,2300,Yes,0,4,Yes
1011,28,Male,Multan,53000,13,2000,No,2,3,No
1012,40,Female,Lahore,94000,28,3100,No,0,5,Yes
1013,36,Male,Karachi,70000,21,2600,Yes,1,4,Yes
1014,23,Female,Hyderabad,43000,9,1600,Yes,2,2,No
1015,50,Male,Karachi,110000,35,3600,No,0,5,Yes
1016,26,Female,Faisalabad,49000,11,1750,Yes,1,3,No
1017,32,Male,Lahore,65000,19,2350,No,0,4,Yes
1018,39,Female,Islamabad,82000,24,2950,No,1,5,Yes
1019,30,Male,Karachi,58000,16,2200,Yes,2,3,No
1020,42,Female,Peshawar,91000,27,3150,No,0,5,Yes